영역,속성,Phase 1: 코어 엔진 개발,Phase 2: 웹 인터페이스 구축,Phase 3: 문서 처리 자동화,Phase 4: 인간 승인 시스템,Phase 5: 보고서 생성,Phase 6: 테스트 & 검증,Phase 7: 배포 & 운영,Phase 8: 고도화
,비고,DCF 엔진 검증 완료 (오차율 0.71%),RESTful API 설계 with OpenAPI spec,Puppeteer MCP 활용 검토,human_approval.py 통합,puppeteer-report 또는 jsPDF 사용,Resend 또는 SendGrid,환경 변수 설정 필수,비용 최적화 필요
Database,,,,,,,,,
,작업ID,P1D1,P2D1,P3D1,P4D1,P5D1,P6D1,P7D1,P8D1
,업무,데이터베이스 스키마 설계 (Phase 1은 파일 기반),Supabase 테이블 설계 - companies/valuations/documents,문서 메타데이터 테이블 - upload_time/file_size/parsing_status,인간 승인 상태 테이블 - approval_points/scenarios/approvals,보고서 생성 로그 테이블 - generation_time/status/download_url,인덱스 최적화 및 쿼리 성능 개선,백업 자동화 시스템,데이터 분석 테이블 (사용자 행동 로그)
,작업지시서,tasks/P1D1.md,tasks/P2D1.md,tasks/P3D1.md,tasks/P4D1.md,tasks/P5D1.md,tasks/P6D1.md,tasks/P7D1.md,tasks/P8D1.md
,담당AI,database-developer,database-developer,database-developer,database-developer,database-developer,performance-optimizer,devops-troubleshooter,database-developer
,진도,100%,0%,0%,0%,0%,0%,0%,0%
,상태,완료 (2025-10-17 09:00),대기,대기,대기,대기,대기,대기,대기
,테스트/검토,통과,대기,대기,대기,대기,대기,대기,대기
,자동화방식,AI-only,AI-only,AI-only,AI-only,AI-only,AI-only,AI-only,AI-only
,의존작업,없음,P1D1,P2D1+P3B1,P3D1+P4B1,P4D1+P5B1,P5D1,P6D1,P7D1
,블로커,없음,없음,없음,없음,없음,없음,없음,없음
,비고,Phase 1은 파일 기반 엔진 (DB 불필요),Supabase PostgreSQL 사용,JSON 메타데이터 저장,approval_status: PENDING/APPROVED/REJECTED/CUSTOM,보고서 다운로드 URL 저장,B-tree 인덱스 생성 + 쿼리 최적화,Supabase 자동 백업 활용,Google Analytics 연동
RLS Policies,,,,,,,,,
,작업ID,P1E1,P2E1,P3E1,P4E1,P5E1,P6E1,P7E1,P8E1
,업무,common/human_approval.py 인간 승인 시스템 완성 (22개 판단 포인트),RLS 정책 설계 - 사용자별 평가 데이터 격리,문서 접근 권한 정책 - 본인 업로드 문서만 조회,승인 데이터 보안 정책 - 평가자 본인만 승인 가능,보고서 다운로드 권한 정책,관리자 전체 조회 정책 (선택),감사 로그 RLS 정책,멀티 테넌시 RLS 정책 (기업 단위 격리)
,작업지시서,tasks/P1E1.md,tasks/P2E1.md,tasks/P3E1.md,tasks/P4E1.md,tasks/P5E1.md,tasks/P6E1.md,tasks/P7E1.md,tasks/P8E1.md
,담당AI,security-auditor,security-auditor,security-auditor,security-auditor,security-auditor,security-auditor,security-auditor,security-auditor
,진도,100%,0%,0%,0%,0%,0%,0%,0%
,상태,완료 (2025-10-17 12:30),대기,대기,대기,대기,대기,대기,대기
,테스트/검토,통과,대기,대기,대기,대기,대기,대기,대기
,자동화방식,AI-only,AI-only,AI-only,AI-only,AI-only,AI-only,AI-only,AI-only
,의존작업,P1B1,P2D1,P3D1,P4D1,P5D1,P6D1,P7D1,P8D1
,블로커,없음,없음,없음,없음,없음,없음,없음,없음
,비고,22개 판단 포인트 완성 (재무/법률/시장/기술),auth.uid() 기반 필터링,storage.objects RLS,approval_points.user_id = auth.uid(),report_downloads 테이블 RLS,is_admin = true 조건,audit_logs 읽기 전용 정책,company_id 기반 격리
Authentication,,,,,,,,,
,작업ID,P1C1,P2C1,P3C1,P4C1,P5C1,P6C1,P7C1,P8C1
,업무,인증 시스템 설계 (Phase 2 이후),Supabase Auth 설정 - 이메일/비밀번호 인증,OAuth 소셜 로그인 (Google/Kakao),평가자 권한 관리 - 일반 사용자/전문 평가자/관리자,세션 관리 및 JWT 토큰 검증,2단계 인증 (2FA) 도입,SSO (Single Sign-On) 기업용,생체 인증 통합 (WebAuthn)
,작업지시서,tasks/P1C1.md,tasks/P2C1.md,tasks/P3C1.md,tasks/P4C1.md,tasks/P5C1.md,tasks/P6C1.md,tasks/P7C1.md,tasks/P8C1.md
,담당AI,security-auditor,backend-developer,backend-developer,backend-developer,security-auditor,security-auditor,security-auditor,security-auditor
,진도,100%,0%,0%,0%,0%,0%,0%,0%
,상태,완료 (2025-10-17 08:30),대기,대기,대기,대기,대기,대기,대기
,테스트/검토,통과,대기,대기,대기,대기,대기,대기,대기
,자동화방식,AI-only,AI-only,AI-only,AI-only,AI-only,AI-only,AI-only,AI-only
,의존작업,없음,P2D1,P2C1,P3C1,P4C1,P5C1,P6C1,P7C1
,블로커,없음,없음,없음,없음,없음,없음,없음,없음
,비고,Phase 1은 인증 불필요 (로컬 파일 기반),이메일 인증 필수,소셜 로그인 선택적,roles 테이블 설계,JWT refresh token 관리,OTP 또는 Authenticator App,SAML 2.0 지원,FIDO2 표준
Test & QA,,,,,,,,,
,작업ID,P1T1,P2T1,P3T1,P4T1,P5T1,P6T1,P7T1,P8T1
,업무,5개 엔진 유닛 테스트 - 각 엔진별 입출력 검증 (DCF 검증 완료),API 통합 테스트 - 5가지 평가법 API 검증,문서 파싱 정확도 테스트 - 실제 재무제표 50개 샘플,인간 승인 시스템 E2E 테스트 - 22개 판단 포인트 전체 시나리오,보고서 생성 품질 검증 - 80페이지 포맷/차트 정확도,부하 테스트 - 동시 100명 사용자 시나리오,프로덕션 스모크 테스트,성능 벤치마크 - 평가 1건당 60분 이내 목표
,작업지시서,tasks/P1T1.md,tasks/P2T1.md,tasks/P3T1.md,tasks/P4T1.md,tasks/P5T1.md,tasks/P6T1.md,tasks/P7T1.md,tasks/P8T1.md
,담당AI,test-engineer,test-engineer,test-engineer,test-engineer,test-engineer,test-engineer,devops-troubleshooter,performance-optimizer
,진도,100%,0%,0%,0%,0%,0%,0%,0%
,상태,완료 (2025-10-18 13:00),대기,대기,대기,대기,대기,대기,대기
,테스트/검토,통과,대기,대기,대기,대기,대기,대기,대기
,자동화방식,AI-only,AI-only,AI-only,AI-only,AI-only,AI-only,AI-only,AI-only
,의존작업,P1B1+P1E1,P2B1,P3B1,P4B1+P4F1,P5B1,P5T1,P7B1,P7T1
,블로커,없음,없음,없음,없음,없음,없음,없음,없음
,비고,DCF 엔진 검증 완료 (오차율 0.71%),Supertest 또는 httpx 사용,한국 상장사 재무제표 우선 (DART API),Puppeteer 자동화,PDF 육안 검증 병행,k6 또는 Locust 사용,헬스체크 엔드포인트 확인,Lighthouse 성능 점수 90+ 목표
DevOps & Infra,,,,,,,,,
,작업ID,P1A1,P2A1,P3A1,P4A1,P5A1,P6A1,P7A1,P8A1
,업무,프로젝트 초기 설정 (Git/폴더 구조),Vercel + Supabase 프로젝트 생성 및 환경 변수 설정,Supabase Storage 설정 - 문서 업로드 버킷,CI/CD 파이프라인 구축 - GitHub Actions,모니터링 설정 - Sentry/LogRocket,CDN 설정 - Cloudflare,SSL/TLS 인증서 자동 갱신,Supabase 스케일링 정책 - 자동 확장
,작업지시서,tasks/P1A1.md,tasks/P2A1.md,tasks/P3A1.md,tasks/P4A1.md,tasks/P5A1.md,tasks/P6A1.md,tasks/P7A1.md,tasks/P8A1.md
,담당AI,devops-troubleshooter,devops-troubleshooter,devops-troubleshooter,devops-troubleshooter,devops-troubleshooter,devops-troubleshooter,devops-troubleshooter,devops-troubleshooter
,진도,100%,0%,0%,0%,0%,0%,0%,0%
,상태,완료 (2025-10-17 08:00),대기,대기,대기,대기,대기,대기,대기
,테스트/검토,통과,대기,대기,대기,대기,대기,대기,대기
,자동화방식,AI-only,AI-only,AI-only,AI-only,AI-only,AI-only,AI-only,AI-only
,의존작업,없음,P1A1,P2A1+P2D1,P3A1,P4A1,P5A1+P7B1,P6A1,P7A1
,블로커,없음,없음,없음,없음,없음,없음,없음,없음
,비고,폴더 구조 완성 (.claude/agents 포함),환경 변수 .env.example 제공,최대 100MB 파일 업로드,main 브랜치 푸시 시 자동 배포,에러 추적 및 사용자 세션 리플레이,정적 파일 캐싱,Let's Encrypt 또는 Vercel 자동,트래픽 증가 시 자동 인스턴스 추가
Security,,,,,,,,,
,작업ID,P1S1,P2S1,P3S1,P4S1,P5S1,P6S1,P7S1,P8S1
,업무,보안 요구사항 정의 (OWASP Top 10),API 보안 검토 - Rate Limiting/CORS/CSP,파일 업로드 보안 - 악성 파일 검증/바이러스 스캔,인증/인가 보안 감사 - JWT 취약점/세션 하이재킹,데이터 암호화 검토 - 재무 데이터 AES-256 암호화,OWASP ZAP 자동 취약점 스캔,프로덕션 보안 체크리스트 검증,보안 패치 자동화 - Dependabot
,작업지시서,tasks/P1S1.md,tasks/P2S1.md,tasks/P3S1.md,tasks/P4S1.md,tasks/P5S1.md,tasks/P6S1.md,tasks/P7S1.md,tasks/P8S1.md
,담당AI,security-specialist,security-auditor,security-specialist,security-auditor,security-specialist,security-auditor,security-auditor,devops-troubleshooter
,진도,100%,0%,0%,0%,0%,0%,0%,0%
,상태,완료 (2025-10-18 14:00),대기,대기,대기,대기,대기,대기,대기
,테스트/검토,통과,대기,대기,대기,대기,대기,대기,대기
,자동화방식,AI-only,AI-only,AI-only,AI-only,AI-only,AI-only,AI-only,AI-only
,의존작업,없음,P2B1,P3B1+P3A1,P4C1,P5D1,P6B1,P7B1,P7S1
,블로커,없음,없음,없음,없음,없음,없음,없음,없음
,비고,OWASP Top 10 체크리스트 완성,express-rate-limit 또는 Fastify plugin,ClamAV 또는 VirusTotal API,OWASP JWT Cheat Sheet 준수,민감 데이터 at-rest 암호화,CI/CD 통합 (자동 취약점 스캔),SSL Labs A+ 등급 목표,GitHub Security Advisories 활용
